,T,CrashRisk
0,1,3.101786571783418
1,1,-36.46963356144989
2,0,-9.535374920900791
3,1,-47.542881389049306
4,1,10.58600998337374
5,0,23.023451950218856
6,1,42.49687594889247
7,1,53.22129560938566
8,1,-14.08287316700799
9,0,-7.927714329935582
10,0,-17.71669763280207
11,1,-10.163829390349497
12,0,-27.615044931450154
13,1,-19.307842806899
14,0,-44.62031204065227
15,0,-18.999077784563166
16,0,12.880785295614535
17,1,40.28431517888272
18,1,38.44748129384708
19,0,8.440837922677646
20,1,-42.63192989011417
21,0,-33.52540183977985
22,1,32.315978821936866
23,0,39.94420603864814
24,1,20.16228968420372
25,1,35.4673218011891
26,0,18.48675429940613
27,1,24.27933382784595
28,1,8.71564951131323
29,0,14.638962470173272
30,1,24.36564554231564
31,0,23.85169998456525
32,0,33.705943735789845
33,1,13.767325869730252
34,0,38.5742791285878
35,1,-10.565241515983521
36,0,21.901838971103995
37,0,-16.759876896498884
38,1,-31.628282547167167
39,0,-30.698376317326616
40,0,-48.73820577258684
41,0,-18.8215053482318
42,0,-22.404790633290716
43,1,13.622564989000333
44,1,-22.94436383090475
45,0,17.47528702988955
46,0,24.249282231217965
47,0,-4.634533600697406
48,0,-24.848461634045364
49,0,20.536355901249767
50,1,-47.514016162388124
51,0,25.427801484451127
52,0,22.521001323829317
53,0,-46.81799743195716
54,1,-19.051874103277505
55,1,-8.43788248068037
56,1,3.9030946301403473
57,0,-10.925069819532311
58,0,9.463764311829758
59,1,0.1744115362919083
60,1,10.069659677266788
61,0,54.88996467127355
62,1,-10.12322534149539
63,1,-2.9968326792128828
64,1,11.527447636307016
65,0,-28.2695522601721
66,1,14.901167862209947
67,0,5.980932816471466
68,1,53.41871132319838
69,0,9.528169667710856
70,0,1.9009968685401764
71,1,-28.8978169263636
72,1,18.286889309867693
73,0,5.061959464604611
74,0,7.543293009217782
75,0,0.8758862016744128
76,1,5.778529504684866
77,0,22.55659836237007
78,1,45.43485223477015
79,1,-6.833992810753735
80,0,-56.496339017933124
81,0,-6.663324513249576
82,0,-3.209088453878905
83,1,48.52925883263606
84,1,-9.799932891831505
85,1,-23.300219937038623
86,0,12.832289953081423
87,0,0.7942901428367858
88,1,31.181363561288034
89,1,-16.88906072022552
90,0,48.03823226006536
91,1,-6.99772795740292
92,0,31.641460043434105
93,0,10.539429834256678
94,1,-11.405147239534678
95,1,7.770880299911527
96,0,46.523375555704455
97,0,3.9217156497739003
98,0,5.432528081945689
99,1,-9.98010618499682
