,T,Vol,Size,Lev,CrashRisk
0,1,164,148,160,10.035043284338084
1,1,167,134,147,18.151548693921825
2,0,164,108,135,32.205258014504295
3,1,100,176,199,-36.16457037219158
4,1,190,158,150,15.7619994801327
5,1,133,116,177,13.2299685265679
6,0,198,109,148,47.92593744213633
7,0,144,175,134,-19.619369644828833
8,0,180,192,158,-10.684326922144674
9,0,114,138,123,-12.590012596409313
10,1,105,142,129,-18.695206593683007
11,1,116,151,155,-16.871460310105277
12,0,169,113,157,31.623846014303126
13,1,109,125,196,0.5969693160673585
14,0,122,116,171,8.195303190598365
15,1,116,186,106,-43.760145010780825
16,0,129,162,112,-21.480641826292196
17,1,109,143,140,-17.346161910966863
18,1,113,194,172,-40.84781943466973
19,1,197,135,176,37.47511944672058
20,0,132,196,176,-34.40339819117813
21,0,105,184,158,-40.71123650856242
22,1,139,110,123,16.828686930661746
23,0,164,134,162,16.933902827311158
24,1,172,138,181,20.375503004547102
25,0,149,105,113,24.113910937428784
26,1,170,112,119,29.091901526591304
27,1,128,179,165,-26.50439821368277
28,1,197,109,183,51.27643509572187
29,0,189,102,192,52.677242995719446
30,0,149,189,167,-21.65969736934502
31,0,154,109,177,28.390581196238223
32,1,176,160,194,10.932406281138551
33,1,120,135,108,-9.978996115666902
34,1,120,155,118,-20.615616578294823
35,1,181,193,152,-10.080807001307756
36,1,136,190,130,-31.888498923025274
37,1,168,183,199,-5.749769250027485
38,1,114,103,174,12.827489656917841
39,0,145,165,188,-7.46980674492035
40,0,162,183,180,-10.977471570956512
41,0,107,196,146,-49.990448399057854
42,1,134,127,192,9.397700999815536
43,0,150,114,160,23.648373567809575
44,1,149,123,196,21.161069681379963
45,0,113,160,111,-27.510859223367337
46,1,114,160,135,-24.326291538628652
47,1,141,193,108,-33.85544777780141
48,1,102,115,168,-1.3053505254291293
49,1,113,108,159,7.0637075104592775
50,0,163,121,115,21.38504961681303
51,0,120,120,174,5.348488697967009
52,0,109,197,127,-49.80557446402485
53,1,188,117,112,35.546123171927235
54,0,184,132,164,28.875715128577028
55,0,128,133,176,0.3673732027877463
56,1,116,149,115,-19.166165822405915
57,1,179,157,103,8.114980024792027
58,1,124,179,153,-30.202953974751203
59,0,180,166,185,8.67459889336179
60,0,114,186,112,-43.460169138303414
61,0,168,111,117,27.227329540313157
62,1,181,153,177,17.300121308034218
63,0,171,118,181,34.2826134819731
64,0,145,189,188,-22.408614593836415
65,0,154,188,160,-20.49630727721157
66,1,124,188,159,-35.57392218802577
67,0,116,184,104,-42.447054502639126
68,1,145,193,199,-23.782447241006185
69,1,102,187,192,-41.77231441177038
70,1,123,147,137,-11.456007099459411
71,1,183,189,127,-7.592051080112377
72,0,177,187,161,-6.992647374459122
73,1,173,160,110,2.1469593016024273
74,0,188,159,197,20.15126065727597
75,0,167,110,178,34.72650951074946
76,1,172,107,188,41.756438955072625
77,0,165,161,137,-0.43965563460503926
78,1,176,138,171,20.18439473189464
79,0,143,171,186,-12.992478545930886
80,0,194,146,152,23.861485703875786
81,0,146,100,197,33.300125639314736
82,0,190,128,170,35.44308456069577
83,1,164,158,186,5.745664229479472
84,1,135,141,173,3.2463639605939756
85,1,144,100,164,29.728550196478672
86,1,115,164,110,-29.86702652709711
87,1,107,193,106,-51.892935878241666
88,1,114,131,139,-5.79670819244879
89,0,109,167,137,-30.287328819328636
90,1,103,167,109,-39.414346134352996
91,1,145,191,103,-30.252789000337824
92,1,181,118,153,36.16304579469482
93,1,165,100,114,33.368931985499785
94,0,161,157,181,4.802463974296256
95,0,172,166,142,0.43852926750813137
96,1,196,116,121,38.943279831472566
97,1,146,113,197,24.67675375601844
98,1,111,119,122,-3.477485820747673
99,1,189,108,135,43.48796619692975
