,T,Vol,Size,Lev,CrashRisk
0,1,111,133,162,-5.833495315628465
1,0,102,101,161,7.906647852341302
2,1,142,153,143,-6.7181374232336575
3,0,133,172,145,-21.146345454264353
4,1,117,184,111,-39.65886462190792
5,1,172,191,162,-12.601416592070542
6,1,137,127,161,9.991674279142778
7,0,106,161,134,-30.67466573191548
8,0,143,100,117,22.90873531101196
9,0,161,160,182,2.9112616592189453
10,1,138,112,181,19.432387361608633
11,0,119,183,150,-34.36083563272002
12,1,167,148,120,7.374474919978026
13,0,118,155,126,-21.72791124960676
14,0,188,166,179,11.813016208189497
15,1,100,114,127,-4.945355635983538
16,1,150,163,196,-4.992438421645543
17,0,119,141,148,-8.774112201206865
18,0,153,197,179,-21.499840114734035
19,0,169,174,135,-6.820964968873531
20,0,121,103,165,14.647734688705736
21,0,137,126,106,1.6281203825710429
22,1,143,172,154,-15.700271174544692
23,1,114,150,172,-13.229550280416996
24,1,192,127,184,38.774800036794964
25,0,146,183,106,-23.97164414863339
26,0,142,111,192,23.37034361291647
27,1,100,167,105,-41.52608558385237
28,1,167,188,168,-13.464468532335362
29,0,158,127,157,18.410554597648307
30,1,132,101,197,24.843882356156925
31,0,197,105,163,51.011255412959585
32,1,198,133,136,33.66517055621313
33,1,160,170,104,-12.16359023278552
34,1,185,142,110,17.467558074434333
35,1,151,198,156,-26.727140971554324
36,1,130,178,175,-23.932334783393074
37,1,113,100,150,11.452550138167311
38,1,132,190,135,-33.489419646373804
39,1,117,118,196,7.63836288131569
40,1,129,178,166,-26.598867095584822
41,1,166,115,134,26.472166785154233
42,1,182,122,197,38.09720889449976
43,1,114,107,153,9.453864079229865
44,1,176,153,170,11.318080912653253
45,0,151,150,154,0.8981838783455179
46,1,107,199,101,-52.44369841622604
47,0,186,183,194,3.3551785658516526
48,0,121,176,172,-27.44165203576324
49,0,162,133,167,15.941252631511873
50,1,100,169,183,-33.22304650859545
51,0,133,122,172,10.928497793952777
52,1,132,188,194,-26.968546143234132
53,0,113,197,175,-44.78601623983388
54,1,163,149,114,3.027629089186302
55,0,133,176,115,-26.682950292502547
56,0,168,197,119,-23.512267067487272
57,1,151,109,156,25.970519513732135
58,1,115,168,106,-31.913498614358115
59,0,148,178,127,-19.865149412208083
60,1,114,192,175,-40.62072108017236
61,0,113,150,106,-22.614078428007247
62,0,157,113,133,24.515267156841265
63,0,196,188,110,-3.407213998285755
64,0,190,174,176,7.094640551688514
65,0,173,152,125,7.283340506160359
66,1,171,157,161,6.904490434669255
67,0,176,115,172,36.428219323981814
68,0,165,160,131,-1.1818912349143789
69,0,165,129,151,19.251378672449118
70,0,191,177,192,7.589534843282614
71,1,113,144,176,-9.604119052177142
72,1,163,188,187,-11.623674597826659
73,0,197,174,188,11.736085472037443
74,1,190,161,114,9.848120575222383
75,0,107,135,198,-8.343278131293596
76,0,149,156,110,-7.818691496142837
77,0,186,191,129,-8.65186442490414
78,0,137,192,198,-28.702483186815165
79,1,161,175,158,-8.443817467723292
80,1,170,149,120,8.037141804084936
81,1,180,146,112,15.021797380593709
82,0,194,161,186,18.803740314075036
83,1,114,107,149,7.756526662042913
84,0,111,105,169,7.586944878147398
85,1,140,170,157,-17.201568343459673
86,1,148,150,180,4.0213318836897995
87,0,126,139,198,-2.189871865047642
88,0,130,195,104,-42.02676382393316
89,0,187,122,164,36.534352020428855
90,0,151,128,151,13.316829722882918
91,1,133,101,197,26.343038939936655
92,1,147,100,111,24.66549372171792
93,0,110,105,189,11.603205267795424
94,0,134,160,137,-14.152468937794199
95,1,145,162,117,-13.21503489569023
96,0,110,111,178,6.203727234262284
97,1,102,102,100,0.9533845978750253
98,1,150,194,182,-22.058005658240194
99,1,111,158,170,-22.836539701816164
100,0,134,190,183,-29.156229241113426
101,1,102,102,170,7.21911899831238
102,0,120,187,103,-40.21448583445871
