,T,CrashRisk
0,1,-28.46200317847296
1,1,3.955455204968999
2,1,2.403127159076457
3,1,-36.3755839851546
4,1,-45.198151275950124
5,0,26.53285861166848
6,1,-21.70596667142093
7,1,-30.69841432561648
8,1,-14.84673688414582
9,0,29.28355448789421
10,1,-45.642666097947654
11,1,10.291407385443637
12,1,16.345294746051028
13,1,29.36389541768822
14,0,-2.7467889014205946
15,1,-39.75108913043561
16,1,29.109932551690857
17,1,-18.951677555615273
18,1,-35.57224918378031
19,1,-31.844903981205494
20,1,20.1832624594554
21,0,-30.548828983358668
22,0,35.09609661265242
23,0,4.562417225463743
24,1,-35.37836897137512
25,1,-7.268731554192388
26,1,24.09530360758805
27,0,0.7002168901877858
28,0,-25.843554303907315
29,0,-53.101035428173475
30,0,-6.265500536725878
31,0,14.799797025245574
32,1,-14.04479920668875
33,0,6.944454390531919
34,1,35.495457320016556
35,0,21.387990805117635
36,1,18.79139531989758
37,1,-29.086056236511446
38,0,-14.15923574823865
39,1,-4.3162639077337275
40,0,-20.816719145410403
41,1,-7.4419354495756265
42,1,15.001811362293683
43,1,11.046051081533358
44,1,0.4394778681774692
45,1,-24.18546548120721
46,1,14.50959225511104
47,1,-22.743114748447308
48,0,-9.722683767998973
49,0,-19.84911327736145
50,0,-0.4309435370495539
51,0,43.73911667646061
52,0,-7.347223329043188
53,1,30.75103027716145
54,1,10.916360754660277
55,1,18.422451186747367
56,0,41.78586695728704
57,0,17.323835790176272
58,1,51.051363125109745
59,1,-32.01751369752089
60,1,7.078462931550524
61,1,13.10678070744248
62,0,-8.352271103582146
63,1,6.042170649775555
64,1,-21.827670670181686
65,1,-8.276131505720482
66,0,1.103253803582337
67,0,4.072029891962901
68,0,10.970340690456817
69,1,-0.8638426417585617
70,1,-38.45429680660654
71,1,0.2463117805054772
72,1,22.45720987111042
73,1,16.525998920746947
74,1,29.87746859555813
75,1,-0.4248535868308607
76,1,7.371632760125677
77,1,-22.702685505132536
78,0,35.68872467250143
79,0,15.57206497358939
80,0,18.41870962786866
81,0,28.00764724121549
82,1,-10.122159211992784
83,1,-0.09520083908758536
84,1,-5.101319150456131
85,0,51.65612968737258
86,0,5.846417852588261
87,1,27.402052825719757
88,0,7.495393009989828
89,0,-20.482058195517915
90,0,-16.87737852506412
91,0,6.847964295776502
92,0,-18.382258689931344
93,1,-15.802178888503448
94,1,-12.743524751302154
95,0,16.73268689337081
96,1,-19.945029610357174
97,0,2.4617594023988705
98,0,12.595144417009333
99,1,29.986718318864295
100,1,-1.495728812788689
101,0,2.45452744176177
102,0,12.214288997994057
103,1,3.122369753849855
104,1,-11.257526817201157
105,0,-45.28425759603356
106,1,-22.79232373807975
107,0,-12.986990620002498
108,0,7.39407692804657
109,0,1.724095382002774
110,1,15.879992850440251
