,T,Conf,Vol,Size,Lev,CrashRisk
0,0.0,21,159,145,168,9.2192583933735
1,0.8,80,122,144,166,-6.337688038164588
2,0.0,15,179,173,173,3.828443634160264
3,0.3,30,131,196,155,-35.65506822436461
4,0.0,58,155,100,146,31.077785678301723
5,0.0,30,182,142,171,23.18596284650033
6,0.49,49,107,162,169,-28.162287182084977
7,0.0,96,134,147,128,-7.22044214266837
8,0.0,71,172,125,119,21.643753441132297
9,0.0,85,111,179,156,-36.0288358655951
10,0.88,88,199,129,104,33.279404050605706
11,0.15,15,110,187,154,-42.29503772715519
12,0.42,42,167,172,193,-0.936282826886669
13,0.42,42,138,161,153,-11.917050537769398
14,0.0,79,195,198,174,-4.889434124385973
15,0.29,29,111,173,195,-28.5281668282761
16,0.67,67,148,144,183,6.057760173988711
17,0.39,39,155,183,147,-16.666998678587483
18,0.0,64,112,148,192,-12.206564139970006
19,0.9,90,175,102,132,39.15493128437125
20,0.9500000000000001,95,156,126,183,22.540536271317265
21,0.0,13,168,187,180,-11.44548245856481
22,0.43,43,117,176,167,-32.41896527385715
23,0.0,84,165,183,137,-13.668810299114872
24,0.54,54,141,123,127,11.217546592911496
25,0.0,27,106,136,193,-9.064287529848155
26,0.93,93,124,188,114,-39.18080164618379
27,0.11,11,122,153,123,-16.81096469980319
28,0.0,94,134,172,137,-21.534091218165294
29,0.36,36,198,195,195,1.342214108137488
30,0.46,46,130,182,143,-28.386707298881248
31,0.0,70,158,113,187,32.4527256716103
32,0.0,21,155,157,148,-2.6980315482895056
33,0.0,33,118,103,181,15.579903398892924
34,0.0,94,136,129,131,2.0613444174163904
35,0.0,66,130,100,112,15.495707821261918
36,0.0,5,193,137,194,34.44738293036656
37,0.0,30,176,110,123,34.06749994976441
38,0.0,8,179,170,179,4.307589282127003
39,0.0,46,104,108,195,7.021802158107849
40,0.97,97,190,136,136,27.40156259610707
41,0.0,85,169,153,136,7.255717246703297
42,0.0,72,120,108,105,5.900498185606257
43,0.52,52,196,181,167,6.437517851002293
44,0.0,96,106,120,152,-5.115592391232069
45,0.49,49,162,183,139,-14.275667843708748
46,0.36,36,155,171,102,-15.15142722646109
47,0.0,83,195,120,139,41.375258093949355
48,0.0,85,185,194,190,-3.3767813696129227
49,0.0,35,161,116,196,31.562701182046414
50,0.0,21,155,101,149,32.21691119635761
51,0.0,10,192,112,124,41.12806840379173
52,0.91,91,136,122,128,7.096329599069414
53,0.71,71,121,170,136,-28.427704966289962
54,0.12,12,167,123,122,20.743180533539107
55,0.0,33,148,183,110,-24.51385370377348
56,0.0,32,176,184,194,-1.977252219896073
57,0.0,21,187,111,189,45.55803917382854
58,0.0,61,194,150,178,25.22547880278215
59,0.0,49,141,132,195,10.58623918800142
60,0.08,8,175,162,117,1.5510242325214725
61,0.49,49,139,114,115,13.076765173441622
62,0.76,76,109,125,112,-7.564137740992711
63,0.46,46,180,127,127,26.696656132211995
64,0.0,95,131,169,147,-20.55711333257653
65,0.0,57,123,139,171,-6.202235135966825
66,0.91,91,137,170,143,-18.884748761331913
67,0.0,65,160,134,113,10.92779114281853
68,0.53,53,171,118,179,32.84663532238952
69,0.07,7,187,119,144,36.05427169618576
70,0.0,62,169,137,100,12.817307640899635
71,0.81,81,109,125,128,-6.626271557623518
72,0.8200000000000001,82,190,187,102,-5.752035413638062
73,0.0,65,111,170,173,-29.252984054970007
74,0.78,78,124,139,125,-9.326030590431918
75,0.21,21,124,158,119,-19.35870956879326
76,0.0,24,175,177,194,0.8984449675178016
77,0.59,59,102,100,123,4.047593400617966
78,0.15,15,128,154,157,-9.604449128026749
79,0.97,97,117,122,140,1.3166190723622615
80,0.58,58,136,164,150,-16.716803557895144
81,0.0,24,138,172,192,-15.409949592632792
82,0.38,38,135,188,194,-25.556964571803213
83,0.31,31,166,130,142,19.96014542362139
84,0.79,79,162,157,176,5.9701421969993085
85,0.21,21,176,143,141,18.054278291791306
86,0.0,17,106,164,166,-26.81721799979533
87,0.0,23,154,134,177,13.92388452638341
88,0.0,64,124,164,124,-24.04781469265976
89,0.75,75,196,126,106,32.34832144943117
90,0.0,89,150,146,176,4.283031275095836
91,0.0,18,197,143,148,28.223946854109546
92,0.0,45,191,158,124,13.13032285088225
93,0.0,35,111,101,113,5.3916103712483405
94,0.15,15,190,123,174,37.40721748580525
95,0.09,9,145,133,148,7.452984820898607
96,0.0,2,118,140,121,-15.675968418054469
97,0.0,35,131,149,127,-9.130047890209283
98,0.0,66,138,140,124,-1.5673191824082648
99,0.48,48,191,117,137,39.126779454879006
100,0.0,92,168,174,117,-7.339533547793842
101,0.0,56,145,124,171,15.024309026280664
102,0.0,94,110,130,105,-14.14384786106356
103,0.59,59,116,136,114,-11.630477834182372
104,0.43,43,136,188,153,-27.552014698189733
105,0.0,57,184,176,123,0.7334436914739648
106,0.0,68,189,189,190,0.07648987501696758
107,0.0,13,168,196,121,-19.353959117914567
108,0.58,58,181,155,131,9.431654706772118
109,0.0,99,115,183,165,-35.654047708970154
110,0.0,69,160,180,169,-10.355568362119705
111,0.0,56,134,193,199,-28.25932515326551
112,0.09,9,114,188,111,-45.09535596872202
113,0.0,47,140,158,174,-9.155572858637054
114,0.99,99,197,123,158,41.84270637867515
115,0.0,65,155,160,130,-5.2520424786807896
116,0.0,99,133,142,132,-4.294465240495674
117,0.0,19,131,138,173,0.32415266240575646
118,0.0,19,154,127,189,19.825658104558805
119,0.48,48,141,112,112,14.064376925121811
120,0.0,13,175,128,166,27.73580465383644
121,0.39,39,175,136,148,22.26582417684638
122,0.05,5,108,190,176,-42.60682787288557
123,0.0,93,151,117,177,24.22374724010527
124,0.0,54,104,183,155,-42.505497405327006
125,0.96,96,182,134,178,26.18611829929718
126,0.0,37,171,169,127,-2.9396162641428494
127,0.0,53,162,109,111,25.887335037506116
128,0.0,32,130,160,198,-9.053041004714263
129,0.17,17,131,188,171,-29.686369089027
130,0.0,11,151,194,159,-25.759777346862514
131,0.9500000000000001,95,168,145,174,14.985059817922835
132,0.0,13,123,151,145,-14.663728980740464
133,0.0,70,100,190,113,-52.22472872338744
134,0.0,31,136,145,196,0.985257141373237
135,0.16,16,142,146,114,-3.641139630407726
136,0.0,79,153,158,151,-3.8545283924391986
137,0.0,95,152,121,192,22.98473452805328
138,0.59,59,166,157,108,-0.6695584436544008
139,0.64,64,116,111,160,7.288921510124455
140,0.47000000000000003,47,173,180,152,-5.2169690401602935
141,0.0,55,148,100,101,25.98110675259628
142,0.6,60,154,175,102,-18.36307635802351
143,0.38,38,187,185,135,-2.122193638199939
144,0.0,52,157,166,141,-4.848144997571964
145,0.0,62,183,192,144,-10.429826927010573
146,0.34,34,145,102,161,27.156174905914256
147,0.0,66,147,114,146,20.756706880578772
148,0.28,28,123,168,138,-25.790269352746773
149,0.56,56,101,106,173,3.9747902481988007
150,0.05,5,171,131,121,17.728851740248437
151,0.0,38,194,166,134,11.855941476024363
152,0.05,5,114,125,134,-5.0360223453760895
153,0.0,43,128,146,175,-6.11401268242731
154,0.24,24,197,171,103,6.905189559839566
155,0.0,45,154,137,181,12.28486723831003
156,0.0,3,121,194,154,-40.64339050558675
157,0.3,30,105,124,149,-5.094929217992583
158,0.74,74,131,102,136,17.508796322815293
159,0.5,50,191,100,131,47.49075175659742
160,0.0,46,175,169,103,-1.683032473908674
161,0.66,66,152,166,114,-10.917302971633514
162,0.0,32,198,174,189,12.547805369466134
163,0.09,9,122,140,131,-9.431519665774426
164,0.64,64,140,195,164,-30.342421115184543
165,0.0,54,197,111,149,47.27453923666237
166,0.0,71,161,145,118,5.396146065062811
167,0.0,19,175,144,142,18.31018958608817
168,0.0,43,151,105,103,23.029091138230772
169,0.78,78,185,191,108,-11.004329364138806
170,0.07,7,160,154,136,-0.5895112804886622
171,0.0,77,169,107,152,35.31148111325066
172,0.79,79,182,167,129,3.521505774026238
173,0.45,45,199,120,118,40.733959754378
174,0.0,9,145,165,166,-11.766462431815915
175,0.0,58,182,183,167,-1.392386753816607
176,0.0,49,169,127,129,21.855716752706098
177,0.47000000000000003,47,101,103,111,-1.3831434590737495
178,0.0,18,149,183,128,-20.58336399888831
179,0.86,86,107,101,139,6.027654282081132
180,0.0,64,123,193,169,-35.540747734665864
181,0.72,72,150,114,158,24.853298610234102
182,0.0,57,167,191,152,-17.447332860756354
183,0.0,18,177,199,179,-10.68448969076684
184,0.73,73,140,176,195,-14.51521908384242
185,0.0,16,103,118,101,-11.367063921060826
186,0.96,96,143,194,135,-30.164022962135892
187,0.0,76,125,115,178,11.036589386094105
188,0.64,64,174,165,164,4.026592166088044
189,0.93,93,132,189,114,-35.48642278009245
190,0.0,2,132,122,121,4.011204337142616
191,0.31,31,182,146,131,15.859510442431601
192,0.13,13,170,140,144,16.645237888738016
193,0.0,6,164,199,175,-20.96263598695972
194,0.0,50,106,172,139,-34.90466896127992
195,0.0,4,104,189,158,-45.12222611396495
196,0.39,39,143,139,141,2.2457228313381234
197,0.0,89,107,145,183,-17.513343017115357
198,0.99,99,180,138,193,26.543489876241846
199,0.72,72,162,161,187,4.299980626021956
200,0.0,36,173,180,153,-4.299587507959889
201,0.87,87,146,103,120,24.935623658706113
202,0.3,30,152,199,176,-25.949414857978635
203,0.0,15,174,189,153,-11.11224993516325
204,0.0,38,196,198,105,-9.64307473191367
205,0.36,36,109,113,116,0.179760478514575
206,0.19,19,165,177,110,-12.095508519591196
207,0.0,19,162,178,192,-7.837179188337215
208,0.0,35,101,127,101,-16.003524263677022
209,0.0,60,138,100,183,28.401966442894267
210,0.42,42,112,108,109,1.8250396511122284
211,0.23,23,163,163,142,-0.11510955479271834
212,0.0,38,198,165,136,14.176871650372195
213,0.71,71,173,189,113,-17.09198537714508
214,0.0,14,141,154,189,-3.071813974174805
215,0.31,31,176,179,196,-1.141543261493927
216,0.0,24,176,116,101,27.758760527901643
217,0.0,57,122,102,131,12.984662261528019
218,0.07,7,172,136,146,19.13684818225827
