,T,Vol,Size,Lev,CrashRisk
0,0,159,145,168,9.2192583933735
1,1,122,144,166,-6.337688038164588
2,1,179,173,173,3.828443634160264
3,1,131,196,155,-35.65506822436461
4,0,155,100,146,31.077785678301723
5,1,182,142,171,23.18596284650033
6,0,107,162,169,-28.162287182084977
7,1,134,147,128,-7.22044214266837
8,0,172,125,119,21.643753441132297
9,1,111,179,156,-36.0288358655951
10,1,199,129,104,33.279404050605706
11,0,110,187,154,-42.29503772715519
12,0,167,172,193,-0.936282826886669
13,0,138,161,153,-11.917050537769398
14,0,195,198,174,-4.889434124385973
15,1,111,173,195,-28.5281668282761
16,1,148,144,183,6.057760173988711
17,1,155,183,147,-16.666998678587483
18,0,112,148,192,-12.206564139970006
19,0,175,102,132,39.15493128437125
20,1,156,126,183,22.540536271317265
21,0,168,187,180,-11.44548245856481
22,1,117,176,167,-32.41896527385715
23,0,165,183,137,-13.668810299114872
24,0,141,123,127,11.217546592911496
25,1,106,136,193,-9.064287529848155
26,1,124,188,114,-39.18080164618379
27,0,122,153,123,-16.81096469980319
28,1,134,172,137,-21.534091218165294
29,0,198,195,195,1.342214108137488
30,1,130,182,143,-28.386707298881248
31,0,158,113,187,32.4527256716103
32,0,155,157,148,-2.6980315482895056
33,1,118,103,181,15.579903398892924
34,1,136,129,131,2.0613444174163904
35,1,130,100,112,15.495707821261918
36,1,193,137,194,34.44738293036656
37,0,176,110,123,34.06749994976441
38,0,179,170,179,4.307589282127003
39,1,104,108,195,7.021802158107849
40,0,190,136,136,27.40156259610707
41,0,169,153,136,7.255717246703297
42,0,120,108,105,5.900498185606257
43,1,196,181,167,6.437517851002293
44,1,106,120,152,-5.115592391232069
45,0,162,183,139,-14.275667843708748
46,1,155,171,102,-15.15142722646109
47,0,195,120,139,41.375258093949355
48,0,185,194,190,-3.3767813696129227
49,0,161,116,196,31.562701182046414
50,1,155,101,149,32.21691119635761
51,0,192,112,124,41.12806840379173
52,0,136,122,128,7.096329599069414
53,0,121,170,136,-28.427704966289962
54,1,167,123,122,20.743180533539107
55,0,148,183,110,-24.51385370377348
56,0,176,184,194,-1.977252219896073
57,0,187,111,189,45.55803917382854
58,1,194,150,178,25.22547880278215
59,0,141,132,195,10.58623918800142
60,0,175,162,117,1.5510242325214725
61,1,139,114,115,13.076765173441622
62,1,109,125,112,-7.564137740992711
63,1,180,127,127,26.696656132211995
64,1,131,169,147,-20.55711333257653
65,0,123,139,171,-6.202235135966825
66,0,137,170,143,-18.884748761331913
67,1,160,134,113,10.92779114281853
68,1,171,118,179,32.84663532238952
69,1,187,119,144,36.05427169618576
70,0,169,137,100,12.817307640899635
71,1,109,125,128,-6.626271557623518
72,1,190,187,102,-5.752035413638062
73,1,111,170,173,-29.252984054970007
74,0,124,139,125,-9.326030590431918
75,1,124,158,119,-19.35870956879326
76,0,175,177,194,0.8984449675178016
77,1,102,100,123,4.047593400617966
78,1,128,154,157,-9.604449128026749
79,1,117,122,140,1.3166190723622615
80,1,136,164,150,-16.716803557895144
81,0,138,172,192,-15.409949592632792
82,0,135,188,194,-25.556964571803213
83,0,166,130,142,19.96014542362139
84,0,162,157,176,5.9701421969993085
85,0,176,143,141,18.054278291791306
86,1,106,164,166,-26.81721799979533
87,1,154,134,177,13.92388452638341
88,0,124,164,124,-24.04781469265976
89,1,196,126,106,32.34832144943117
90,0,150,146,176,4.283031275095836
91,1,197,143,148,28.223946854109546
92,0,191,158,124,13.13032285088225
93,1,111,101,113,5.3916103712483405
94,1,190,123,174,37.40721748580525
95,1,145,133,148,7.452984820898607
96,0,118,140,121,-15.675968418054469
97,1,131,149,127,-9.130047890209283
98,0,138,140,124,-1.5673191824082648
99,1,191,117,137,39.126779454879006
100,0,168,174,117,-7.339533547793842
101,1,145,124,171,15.024309026280664
102,0,110,130,105,-14.14384786106356
103,0,116,136,114,-11.630477834182372
104,1,136,188,153,-27.552014698189733
105,1,184,176,123,0.7334436914739648
