,T,Vol,Size,Lev,CrashRisk
0,1,108,170,179,-28.46200317847296
1,1,171,155,118,3.955455204968999
2,1,110,107,103,2.403127159076457
3,1,110,180,164,-36.3755839851546
4,1,115,192,129,-45.198151275950124
5,0,145,107,185,26.53285861166848
6,1,112,158,168,-21.70596667142093
7,1,140,199,180,-30.69841432561648
8,1,145,179,195,-14.84673688414582
9,0,188,141,197,29.28355448789421
10,1,102,187,152,-45.642666097947654
11,1,167,143,112,10.291407385443637
12,1,167,141,171,16.345294746051028
13,1,194,130,103,29.36389541768822
14,0,108,110,103,-2.7467889014205946
15,1,107,186,180,-39.75108913043561
16,1,160,117,198,29.109932551690857
17,1,101,136,118,-18.951677555615273
18,1,121,185,140,-35.57224918378031
19,1,105,159,100,-31.844903981205494
20,1,196,152,117,20.1832624594554
21,0,121,178,169,-30.548828983358668
22,0,181,122,183,35.09609661265242
23,0,163,155,140,4.562417225463743
24,1,120,180,128,-35.37836897137512
25,1,133,143,114,-7.268731554192388
26,1,137,102,157,24.09530360758805
27,0,104,119,199,0.7002168901877858
28,0,147,187,127,-25.843554303907315
29,0,100,197,163,-53.101035428173475
30,0,105,129,190,-6.265500536725878
31,0,171,135,101,14.799797025245574
32,1,163,179,133,-14.04479920668875
33,0,119,115,175,6.944454390531919
34,1,176,120,174,35.495457320016556
35,0,140,103,116,21.387990805117635
36,1,159,133,192,18.79139531989758
37,1,120,170,117,-29.086056236511446
38,0,104,138,166,-14.15923574823865
39,1,129,150,194,-4.3162639077337275
40,0,133,176,182,-20.816719145410403
41,1,165,171,117,-7.4419354495756265
42,1,164,134,137,15.001811362293683
43,1,184,167,182,11.046051081533358
44,1,162,159,148,0.4394778681774692
45,1,110,159,161,-24.18546548120721
46,1,114,100,168,14.50959225511104
47,1,128,171,144,-22.743114748447308
48,0,134,161,173,-9.722683767998973
49,0,120,157,142,-19.84911327736145
50,0,138,139,147,-0.4309435370495539
51,0,192,108,116,43.73911667646061
52,0,172,175,116,-7.347223329043188
53,1,155,103,159,30.75103027716145
54,1,149,136,176,10.916360754660277
55,1,168,130,138,18.422451186747367
56,0,181,110,189,41.78586695728704
57,0,172,146,195,17.323835790176272
58,1,197,108,156,51.051363125109745
59,1,142,193,132,-32.01751369752089
60,1,142,129,145,7.078462931550524
61,1,175,142,103,13.10678070744248
62,0,126,138,123,-8.352271103582146
63,1,160,142,101,6.042170649775555
64,1,123,159,107,-21.827670670181686
65,1,114,130,111,-8.276131505720482
66,0,128,124,112,1.103253803582337
67,0,124,126,179,4.072029891962901
68,0,153,138,164,10.970340690456817
69,1,143,151,187,-0.8638426417585617
70,1,122,185,124,-38.45429680660654
71,1,134,139,170,0.2463117805054772
72,1,146,117,190,22.45720987111042
73,1,134,108,145,16.525998920746947
74,1,159,101,120,29.87746859555813
75,1,114,121,140,-0.4248535868308607
76,1,181,159,116,7.371632760125677
77,1,123,176,195,-22.702685505132536
78,0,193,125,137,35.68872467250143
79,0,169,139,144,15.57206497358939
80,0,182,141,120,18.41870962786866
81,0,156,110,172,28.00764724121549
82,1,193,192,104,-10.122159211992784
83,1,171,172,161,-0.09520083908758536
84,1,192,190,102,-5.101319150456131
85,0,193,107,190,51.65612968737258
86,0,186,164,107,5.846417852588261
87,1,143,106,186,27.402052825719757
88,0,117,113,173,7.495393009989828
89,0,159,187,102,-20.482058195517915
90,0,122,158,163,-16.87737852506412
91,0,145,139,186,6.847964295776502
92,0,164,189,142,-18.382258689931344
93,1,107,137,126,-15.802178888503448
94,1,185,199,140,-12.743524751302154
95,0,198,153,105,16.73268689337081
96,1,130,169,156,-19.945029610357174
97,0,195,174,117,2.4617594023988705
98,0,164,142,163,12.595144417009333
99,1,188,127,114,29.986718318864295
100,1,180,171,117,-1.495728812788689
101,0,133,132,158,2.45452744176177
102,0,181,156,160,12.214288997994057
103,1,195,176,115,3.122369753849855
104,1,103,136,174,-11.257526817201157
105,0,114,195,144,-45.28425759603356
106,1,121,166,149,-22.79232373807975
107,0,142,165,154,-12.986990620002498
108,0,187,172,165,7.39407692804657
109,0,148,138,111,1.724095382002774
110,1,169,148,196,15.879992850440251
111,1,175,176,151,-1.5058134991547476
112,1,128,153,182,-11.215536651018434
113,0,198,167,195,18.795350060837173
114,1,179,184,117,-8.885928280365706
115,1,171,123,179,31.34957438090606
116,1,149,103,117,24.341897108240214
117,0,170,158,121,0.4970609669590089
118,0,173,155,114,5.127885342570355
119,1,180,164,168,7.393535517284827
120,1,193,190,105,-6.828353154808168
121,1,140,134,184,7.229900869170129
122,0,166,171,126,-8.498722426655135
123,1,165,190,146,-19.78601839376514
124,1,124,107,191,17.404859542706316
125,1,159,171,100,-12.514426799658718
126,1,143,173,159,-16.409539768346207
127,1,107,118,157,-0.53255575884986
128,0,118,198,110,-49.71497481961759
129,0,129,143,187,-2.7349135097767463
130,0,164,199,159,-20.12332049282467
131,1,174,192,154,-9.726745657307934
132,0,124,188,127,-36.830182073656324
133,0,112,118,123,-3.9022232150916913
134,1,138,133,192,8.210822668499883
135,0,105,132,135,-13.014422364969775
136,1,147,190,198,-20.92106311328565
137,1,124,103,161,16.565578087449932
138,1,174,167,162,1.8685647553374483
139,0,192,108,151,44.96885871479638
140,1,104,167,115,-37.07069018522026
141,0,157,108,195,33.54587815893001
142,0,174,143,109,12.989000586173189
143,1,169,138,151,17.346643162977635
144,1,111,195,149,-46.84929196483538
145,0,194,185,165,4.343872902971738
146,0,185,128,139,29.264981823402884
147,1,168,145,149,12.718643277527605
148,1,185,132,107,23.128583949706442
149,1,157,132,107,12.195108071837057
150,0,155,190,152,-20.83975947628087
151,0,182,134,153,26.96651367149597
152,0,162,143,115,6.722185913533166
153,1,125,120,198,10.695139495333077
154,1,120,175,152,-28.114446877330153
155,1,132,175,178,-21.18400969309116
156,1,156,186,102,-23.305789398251978
157,1,194,186,171,2.094431105454271
158,0,165,167,154,-3.4829803707924083
159,0,169,176,133,-8.90958154019899
160,1,161,175,137,-10.450848394017315
161,1,160,125,162,22.174100717402563
162,0,154,172,136,-11.426936579270878
163,1,145,195,104,-33.60176519443395
164,0,182,129,170,29.516575299121207
165,0,177,107,159,41.401934661237576
166,0,161,159,193,6.344102459677595
167,0,152,174,163,-12.106488591652647
168,0,173,186,183,-5.6753522767810916
169,0,114,130,150,-6.748547972018395
170,1,113,190,144,-41.52815803339642
171,1,153,107,123,24.66541514757525
172,0,164,108,154,33.68604620350501
173,1,149,135,155,7.989048718491036
174,1,102,191,176,-45.870147279793656
175,0,145,196,140,-30.138399969101517
176,0,186,138,160,28.0398671127001
177,0,150,123,146,14.83154183429853
178,0,159,184,135,-18.465561148759637
179,0,190,166,199,13.685191374057538
180,0,140,108,125,19.686214725163868
181,0,152,102,112,26.51012057124167
182,0,149,172,139,-13.798681816337389
183,0,198,158,129,17.02321511168968
184,1,189,105,117,44.4052697793563
185,0,137,132,114,0.3715663242192309
186,0,116,128,160,-2.3376862675952457
187,0,145,117,105,12.665128428829036
188,0,168,102,119,33.56571627041577
189,1,157,151,175,4.492813941203881
190,1,178,126,167,30.66290965276981
191,0,178,117,174,37.608973804516886
192,0,107,123,107,-8.760176923390029
193,1,158,189,152,-19.249256927497978
194,0,162,105,132,30.697933234459775
195,0,186,122,166,34.66510144902169
196,0,159,120,136,19.420474431806717
197,0,152,165,162,-7.156246490107611
198,0,121,188,126,-39.27348202584281
199,0,188,175,183,7.325231693910006
200,0,138,110,105,13.68161587418861
201,0,107,158,165,-25.765780087885396
202,1,118,149,136,-15.870249027002455
203,0,165,120,107,21.346399914350947
204,1,182,199,147,-11.919068681213776
205,0,103,162,158,-29.608690683190737
206,1,171,139,168,19.743374672369622
207,1,172,143,165,17.29691561384911
208,1,193,192,152,-2.3989147284679015
209,1,190,181,142,-0.5114774221789642
210,0,144,115,175,20.963943294684334
211,0,147,122,123,13.30702036438988
212,1,127,186,125,-34.37206695177683
213,1,120,107,108,5.537977226765271
214,0,109,103,184,10.073824744936198
215,1,163,179,137,-12.941244473848743
216,0,190,156,194,20.29096642335624
217,1,132,175,179,-21.47664795216808
218,1,184,137,145,26.005280874920008
219,1,146,149,100,-7.413880759328967
220,0,184,199,145,-13.480283157642118
221,1,167,140,114,10.690562692289308
222,1,124,133,172,-0.15699662749144025
223,1,124,139,186,-1.35712465315732
224,0,141,106,174,25.489645208764493
225,1,144,179,181,-16.163082824534847
226,1,105,119,155,-2.555465783360384
227,0,110,116,168,2.2562991860732673
228,1,142,126,165,11.733550064980442
229,0,162,148,163,7.581701043998336
230,0,156,163,104,-11.279738979380475
231,0,113,167,109,-32.36753174570677
232,0,143,177,176,-18.74342374136386
233,1,134,144,162,-2.338268716634645
234,0,165,106,128,30.832611565045983
235,0,154,175,151,-11.79550383744951
236,1,109,198,177,-44.39270772812626
237,1,146,123,194,19.967862594378772
238,0,147,158,131,-7.980351329787338
239,1,136,195,118,-37.12321671300284
240,1,122,182,103,-37.18626021844308
241,0,126,191,142,-37.91547977082009
242,1,116,144,147,-12.757258164954319
243,1,108,199,141,-49.09140384301691
244,0,141,117,130,13.345601493951687
245,0,141,131,132,4.4220187628300005
246,1,101,112,161,-0.2992370879739596
247,0,163,171,117,-9.155054647010669
248,0,190,124,144,35.656272291421125
249,0,102,116,141,-5.187693206254318
250,0,118,114,160,6.274704315927344
251,1,179,110,136,37.372135013206794
252,0,167,199,188,-15.866303181311636
253,0,130,158,142,-15.981465333498367
254,0,154,143,175,9.417535979770882
255,0,147,178,112,-23.086919402196582
256,0,136,146,118,-8.488544194039187
257,0,131,195,142,-36.29003119321865
258,0,130,176,133,-28.554939621562053
259,0,138,110,149,19.49093184342659
260,1,137,151,148,-5.969285542672847
261,0,118,150,117,-20.15535341086817
262,1,166,120,183,30.54118407694984
263,1,172,146,150,12.64256106311727
264,1,121,137,113,-8.607933341087014
265,0,106,193,116,-52.09474436296753
266,1,150,183,114,-23.21364499860774
267,0,156,154,150,2.1344566455487035
268,0,126,166,117,-24.98376227555806
269,0,176,117,171,36.667573577993934
270,0,127,107,119,11.062164055576433
271,1,112,149,161,-14.743839529675594
272,1,122,165,169,-20.51613669175845
273,0,177,145,151,17.118036404278435
274,1,116,129,190,-0.4889124627814674
275,0,137,100,147,24.957696435370316
276,0,113,122,117,-6.232461936248985
277,1,129,160,110,-20.534885134170064
278,0,194,169,115,7.556094843282575
279,1,189,130,118,29.691298301761414
280,0,133,119,109,5.317532513315963
281,1,176,149,184,18.65524132563175
282,1,185,109,120,38.98018065868958
283,1,154,193,119,-25.98342921927102
284,1,166,145,174,15.846625366561327
285,1,160,198,173,-20.863940844454497
286,1,104,196,142,-51.63942788738755
287,0,109,150,110,-25.289960945423363
288,1,115,104,161,11.310578931286567
289,0,198,112,179,49.18387277934685
290,1,150,111,100,19.710345349523894
291,0,166,147,133,7.851111735194431
292,0,143,130,149,8.011437892693365
293,0,144,164,146,-12.2305001932186
294,1,167,154,111,2.370865204367892
295,1,197,136,164,33.37587876936657
296,1,174,197,103,-20.692259998650023
297,0,138,153,155,-6.6424725369323045
298,1,136,183,173,-24.53598141902332
299,0,135,146,170,-2.9385623567550194
300,1,144,157,126,-9.683918283516832
301,1,138,164,156,-14.263225395671427
302,0,166,140,167,16.370207233816398
303,0,116,101,197,19.720500301950167
304,0,194,163,137,13.076797563566371
305,1,154,177,106,-18.724429775648208
306,1,191,110,126,42.58152432592978
307,1,199,198,130,-5.140766091619886
308,1,163,126,185,23.570570704120605
309,0,160,114,127,22.273184827373342
310,1,149,136,103,5.345731263313448
311,1,139,138,103,-2.2523924038572614
312,1,122,101,156,16.70918107169239
313,1,120,166,164,-21.78317767936024
314,0,113,188,123,-44.62571932084026
315,1,100,109,108,-4.122377029909966
316,1,118,160,168,-19.30558651185274
317,0,114,185,147,-39.66024921630333
318,0,175,148,185,17.0166656531316
319,0,128,107,153,15.429205711021037
320,1,100,196,181,-49.56353333314871
321,1,115,157,192,-15.927561912724123
322,0,135,119,178,13.143437263632869
323,1,189,119,169,41.17738575657947
324,0,165,122,185,29.794987226267395
325,0,129,121,144,6.970041052961129
326,0,115,135,102,-14.65511965712054
327,0,148,170,116,-15.714616924820069
328,0,182,184,190,0.1907721332012876
329,0,167,180,174,-7.168904393366421
330,0,138,192,118,-34.51567604183392
331,1,195,170,176,12.082080210561159
332,1,105,114,126,-3.329352258006625
333,1,131,175,112,-28.455486039612648
334,1,198,193,122,-4.76423050229616
335,0,118,159,190,-17.808192767857726
336,0,125,147,123,-11.889319552357247
337,1,118,164,192,-20.297296198101073
338,1,161,109,145,29.942042118006974
339,1,195,187,195,5.313714890182298
340,0,107,111,112,-1.619538811132363
341,0,177,198,154,-14.831953718306934
342,0,156,131,128,11.642906007293867
343,1,104,135,125,-16.34523338721438
344,1,110,159,166,-22.47323148915184
345,1,133,184,158,-26.860601553656934
346,1,123,133,119,-5.225114826740006
347,1,140,195,151,-31.0071171115618
348,1,173,132,131,21.421899639342165
349,0,100,173,153,-38.846000774446864
350,0,120,144,169,-12.179111274561945
351,0,155,126,195,23.04200550555344
352,1,115,104,157,12.596053567614828
353,0,161,150,193,10.081688402072864
354,0,101,129,114,-13.719445168787662
355,0,106,144,108,-21.855194861161337
356,0,102,123,181,-3.313364467351877
357,0,150,154,175,1.6827927493514212
358,0,150,145,123,-0.10457458772378053
359,0,109,167,150,-29.844264916799133
360,1,171,199,114,-21.85641541404855
361,1,168,160,190,6.599039754282938
362,1,101,173,158,-36.08412915379322
363,0,130,123,148,7.093505256775577
364,1,173,104,112,35.772447991382464
365,0,130,170,137,-24.225197422073308
366,1,124,117,182,11.733489801763174
